Year,Coach,School,Conf,W,L,Pct
2018,Dabo Swinney,Clemson,ACC,15,0,1
2018,Nick Saban,Alabama,SEC,14,1,0.933
2018,Josh Heupel,UCF,American,12,1,0.923
2018,Brian Kelly,Notre Dame,Ind,12,1,0.923
2018,Lincoln Riley,Oklahoma,Big 12,12,2,0.857
2018,Jeff Tedford,Fresno State,MWC,12,2,0.857
2018,Luke Fickell,Cincinnati,American,11,2,0.846
2018,Mike Leach,Washington State,Pac-12,11,2,0.846
2018,Jeff Monken,Army,Ind,11,2,0.846
2018,Bill Clark,UAB,CUSA,11,3,0.786
2018,Kirby Smart,Georgia,SEC,11,3,0.786
2018,Urban Meyer,Ohio State,Big Ten,10,1,0.909
2018,Scott Satterfield,Appalachian State,Sun Belt,10,2,0.833
2018,Matt Wells,Utah State,MWC,10,2,0.833
2018,Dino Babers,Syracuse,ACC,10,3,0.769
2018,Neal Brown,Troy,Sun Belt,10,3,0.769
2018,Jim Harbaugh,Michigan,Big Ten,10,3,0.769
2018,Bryan Harsin,Boise State,MWC,10,3,0.769
2018,Chad Lunsford,Georgia Southern,Sun Belt,10,3,0.769
2018,Dan Mullen,Florida,SEC,10,3,0.769
2018,Ed Orgeron,LSU,SEC,10,3,0.769
2018,Mark Stoops,Kentucky,SEC,10,3,0.769
2018,Tom Herman,Texas,Big 12,10,4,0.714
2018,Lance Leipold,Buffalo,MAC,10,4,0.714
2018,Chris Petersen,Washington,Pac-12,10,4,0.714
2018,Mario Cristobal,Oregon,Pac-12,9,4,0.692
2018,Butch Davis,Florida International,CUSA,9,4,0.692
2018,Dave Doeren,North Carolina State,ACC,9,4,0.692
2018,Kirk Ferentz,Iowa,Big Ten,9,4,0.692
2018,Jimbo Fisher,Texas A&M,SEC,9,4,0.692
2018,James Franklin,Penn State,Big Ten,9,4,0.692
2018,Doc Holliday,Marshall,CUSA,9,4,0.692
2018,Seth Littrell,North Texas,CUSA,9,4,0.692
2018,David Shaw,Stanford,Pac-12,9,4,0.692
2018,Frank Solich,Ohio,MAC,9,4,0.692
2018,Pat Fitzgerald,Northwestern,Big Ten,9,5,0.643
2018,Kyle Whittingham,Utah,Pac-12,9,5,0.643
2018,Geoff Collins,Temple,American,8,4,0.667
2018,Dana Holgorsen,West Virginia,Big 12,8,4,0.667
2018,Blake Anderson,Arkansas State,Sun Belt,8,5,0.615
2018,Major Applewhite,Houston,American,8,5,0.615
2018,Matt Campbell,Iowa State,Big 12,8,5,0.615
2018,Paul Chryst,Wisconsin,Big Ten,8,5,0.615
2018,David Cutcliffe,Duke,ACC,8,5,0.615
2018,Skip Holtz,Louisiana Tech,CUSA,8,5,0.615
2018,Gus Malzahn,Auburn,SEC,8,5,0.615
2018,Bronco Mendenhall,Virginia,ACC,8,5,0.615
2018,Joe Moorhead,Mississippi State,SEC,8,5,0.615
2018,Jay Norvell,Nevada,MWC,8,5,0.615
2018,Barry Odom,Missouri,SEC,8,5,0.615
2018,Rod Carey,Northern Illinois,MAC,8,6,0.571
2018,Mike Norvell,Memphis,American,8,6,0.571
2018,Nick Rolovich,Hawaii,MWC,8,6,0.571
2018,Rick Stockstill,Middle Tennessee State,CUSA,8,6,0.571
2018,Steve Addazio,Boston College,ACC,7,5,0.583
2018,Jason Candle,Toledo,MAC,7,6,0.538
2018,Dave Clawson,Wake Forest,ACC,7,6,0.538
2018,Chris Creighton,Eastern Michigan,MAC,7,6,0.538
2018,Mark Dantonio,Michigan State,Big Ten,7,6,0.538
2018,Herm Edwards,Arizona State,Pac-12,7,6,0.538
2018,P.J. Fleck,Minnesota,Big Ten,7,6,0.538
2018,Willie Fritz,Tulane,American,7,6,0.538
2018,Mike Gundy,Oklahoma State,Big 12,7,6,0.538
2018,Paul Johnson,Georgia Tech,ACC,7,6,0.538
2018,Tim Lester,Western Michigan,MAC,7,6,0.538
2018,Rocky Long,San Diego State,MWC,7,6,0.538
2018,Will Muschamp,South Carolina,SEC,7,6,0.538
2018,Gary Patterson,TCU,Big 12,7,6,0.538
2018,Matt Rhule,Baylor,Big 12,7,6,0.538
2018,Mark Richt,Miami (FL),ACC,7,6,0.538
2018,Kalani Sitake,Brigham Young,Ind,7,6,0.538
2018,Charlie Strong,South Florida,American,7,6,0.538
2018,Justin Wilcox,California,Pac-12,7,6,0.538
2018,Billy Napier,Louisiana,Sun Belt,7,7,0.5
2018,Pat Narduzzi,Pitt,ACC,7,7,0.5
2018,Jay Hopson,Southern Mississippi,CUSA,6,5,0.545
2018,Craig Bohl,Wyoming,MWC,6,6,0.5
2018,Turner Gill,Liberty,,6,6,0.5
2018,Chuck Martin,Miami (OH),MAC,6,6,0.5
2018,Matt Viator,Louisiana-Monroe,Sun Belt,6,6,0.5
2018,Jeff Brohm,Purdue,Big Ten,6,7,0.462
2018,Justin Fuente,Virginia Tech,ACC,6,7,0.462
2018,Derek Mason,Vanderbilt,SEC,6,7,0.462
2018,Mike MacIntyre,Colorado,Pac-12,5,6,0.455
2018,Tom Allen,Indiana,Big Ten,5,7,0.417
2018,Troy Calhoun,Air Force,MWC,5,7,0.417
2018,Matt Canada,Maryland,Big Ten,5,7,0.417
2018,Sonny Dykes,SMU,American,5,7,0.417
2018,Clay Helton,USC,Pac-12,5,7,0.417
2018,Lane Kiffin,Florida Atlantic,CUSA,5,7,0.417
2018,Kliff Kingsbury,Texas Tech,Big 12,5,7,0.417
2018,Brad Lambert,Charlotte,CUSA,5,7,0.417
2018,Matt Luke,Ole Miss,SEC,5,7,0.417
2018,Joe Moglia,Coastal Carolina,Sun Belt,5,7,0.417
2018,Jeremy Pruitt,Tennessee,SEC,5,7,0.417
2018,Bill Snyder,Kansas State,Big 12,5,7,0.417
2018,Kevin Sumlin,Arizona,Pac-12,5,7,0.417
2018,Willie Taggart,Florida State,ACC,5,7,0.417
2018,Terry Bowden,Akron,MAC,4,8,0.333
2018,Scott Frost,Nebraska,Big Ten,4,8,0.333
2018,Mike Neu,Ball State,MAC,4,8,0.333
2018,Tony Sanchez,UNLV,MWC,4,8,0.333
2018,Lovie Smith,Illinois,Big Ten,4,8,0.333
2018,Mark Whipple,Massachusetts,Ind,4,8,0.333
2018,Bobby Wilder,Old Dominion,CUSA,4,8,0.333
2018,Ryan Day,Ohio State,Big Ten,3,0,1
2018,Scottie Montgomery,East Carolina,American,3,8,0.273
2018,Everett Withers,Texas State,Sun Belt,3,8,0.273
2018,David Beaty,Kansas,Big 12,3,9,0.25
2018,Mike Bobo,Colorado State,MWC,3,9,0.25
2018,Steve Campbell,South Alabama,Sun Belt,3,9,0.25
2018,Bob Davie,New Mexico,MWC,3,9,0.25
2018,Chip Kelly,UCLA,Pac-12,3,9,0.25
2018,Doug Martin,New Mexico State,,3,9,0.25
2018,Philip Montgomery,Tulsa,American,3,9,0.25
2018,Mike Sanford,Western Kentucky,CUSA,3,9,0.25
2018,Frank Wilson,UTSA,CUSA,3,9,0.25
2018,Ken Niumatalolo,Navy,American,3,10,0.231
2018,Carl Pelini,Bowling Green State,MAC,2,3,0.4
2018,Bobby Petrino,Louisville,ACC,2,8,0.2
2018,Larry Fedora,North Carolina,ACC,2,9,0.182
2018,Shawn Elliott,Georgia State,Sun Belt,2,10,0.167
2018,Sean Lewis,Kent State,MAC,2,10,0.167
2018,Chad Morris,Arkansas,SEC,2,10,0.167
2018,Jonathan Smith,Oregon State,Pac-12,2,10,0.167
2018,Mike Bloomgren,Rice,CUSA,2,11,0.154
2018,Mark Ivey,Appalachian State,Sun Belt,1,0,1
2018,Frank Maile,Utah State,MWC,1,0,1
2018,Mike Jinks,Bowling Green State,MAC,1,6,0.143
2018,Chris Ash,Rutgers,Big Ten,1,11,0.083
2018,John Bonamego,Central Michigan,MAC,1,11,0.083
2018,Brent Brennan,San Jose State,MWC,1,11,0.083
2018,Dana Dimel,UTEP,CUSA,1,11,0.083
2018,Randy Edsall,Connecticut,American,1,11,0.083
2018,David Blackwell,East Carolina,American,0,1,0
2018,Ed Foley,Temple,American,0,1,0
2018,Kurt Roper,Colorado,Pac-12,0,1,0
2018,Lorenzo Ward,Louisville,ACC,0,2,0
2018,Chris Woods,Texas State,Sun Belt,0,1,0
